
  1%|▉                                                                                                                                                    | 12/1850 [00:01<04:03,  7.56it/s]
{'loss': 0.5025, 'grad_norm': 3.001304864883423, 'learning_rate': 0.00029547562962568456, 'epoch': 0.39}
{'loss': 0.5616, 'grad_norm': 3.1667978763580322, 'learning_rate': 0.00029541333041425055, 'epoch': 0.39}
{'loss': 0.5824, 'grad_norm': 2.971280574798584, 'learning_rate': 0.0002953506118684992, 'epoch': 0.4}
{'loss': 0.2999, 'grad_norm': 1.894034504890442, 'learning_rate': 0.00029528747416929463, 'epoch': 0.4}
{'loss': 0.7572, 'grad_norm': 3.872796058654785, 'learning_rate': 0.00029522391749870955, 'epoch': 0.4}
{'loss': 0.3834, 'grad_norm': 2.185361385345459, 'learning_rate': 0.00029515994204002484, 'epoch': 0.41}
{'loss': 0.5652, 'grad_norm': 3.0335116386413574, 'learning_rate': 0.00029509554797772916, 'epoch': 0.41}

  9%|█████████████▎                                                                                                                                      | 167/1850 [00:22<03:58,  7.05it/s]
{'loss': 0.3687, 'grad_norm': 2.2389681339263916, 'learning_rate': 0.00029496550478629453, 'epoch': 0.41}
{'loss': 0.3947, 'grad_norm': 2.4738638401031494, 'learning_rate': 0.0002948998560321665, 'epoch': 0.42}
{'loss': 0.8576, 'grad_norm': 3.6676552295684814, 'learning_rate': 0.000294833789424448, 'epoch': 0.42}
{'loss': 0.4204, 'grad_norm': 2.5065531730651855, 'learning_rate': 0.00029476730515365807, 'epoch': 0.42}
{'loss': 0.4999, 'grad_norm': 2.5479753017425537, 'learning_rate': 0.00029470040341152007, 'epoch': 0.42}
{'loss': 0.6935, 'grad_norm': 3.4628589153289795, 'learning_rate': 0.0002946330843909613, 'epoch': 0.43}
{'loss': 0.4083, 'grad_norm': 2.229271411895752, 'learning_rate': 0.00029456534828611235, 'epoch': 0.43}
{'loss': 0.2528, 'grad_norm': 1.8043100833892822, 'learning_rate': 0.00029449719529230653, 'epoch': 0.43}
{'loss': 0.6319, 'grad_norm': 2.941164255142212, 'learning_rate': 0.0002944286256060794, 'epoch': 0.44}
{'loss': 0.5943, 'grad_norm': 2.9162938594818115, 'learning_rate': 0.00029435963942516826, 'epoch': 0.44}
{'loss': 0.7307, 'grad_norm': 3.1392581462860107, 'learning_rate': 0.00029429023694851116, 'epoch': 0.44}
{'loss': 0.6216, 'grad_norm': 3.042099952697754, 'learning_rate': 0.00029422041837624693, 'epoch': 0.44}
{'loss': 0.3629, 'grad_norm': 2.4305741786956787, 'learning_rate': 0.00029415018390971425, 'epoch': 0.45}

 10%|██████████████▋                                                                                                                                     | 183/1850 [00:24<03:56,  7.05it/s]
{'loss': 0.2847, 'grad_norm': 1.796661138534546, 'learning_rate': 0.0002940084681051941, 'epoch': 0.45}
{'loss': 0.6612, 'grad_norm': 3.331547975540161, 'learning_rate': 0.0002939369871758782, 'epoch': 0.45}
{'loss': 0.5962, 'grad_norm': 3.3075411319732666, 'learning_rate': 0.00029386509116963595, 'epoch': 0.46}
{'loss': 0.4015, 'grad_norm': 2.470759630203247, 'learning_rate': 0.00029379278029379667, 'epoch': 0.46}
{'loss': 0.2895, 'grad_norm': 2.047807216644287, 'learning_rate': 0.00029372005475688617, 'epoch': 0.46}
{'loss': 0.3501, 'grad_norm': 2.0513038635253906, 'learning_rate': 0.00029364691476862603, 'epoch': 0.46}
{'loss': 0.4275, 'grad_norm': 2.810214042663574, 'learning_rate': 0.000293573360539933, 'epoch': 0.47}
{'loss': 0.322, 'grad_norm': 2.156165599822998, 'learning_rate': 0.00029349939228291846, 'epoch': 0.47}
{'loss': 0.7604, 'grad_norm': 3.344515800476074, 'learning_rate': 0.0002934250102108876, 'epoch': 0.47}
{'loss': 0.3615, 'grad_norm': 2.384835958480835, 'learning_rate': 0.0002933502145383391, 'epoch': 0.48}
{'loss': 0.3779, 'grad_norm': 2.1376352310180664, 'learning_rate': 0.0002932750054809641, 'epoch': 0.48}
{'loss': 0.6715, 'grad_norm': 3.553882360458374, 'learning_rate': 0.0002931993832556462, 'epoch': 0.48}
{'loss': 0.4791, 'grad_norm': 2.753265142440796, 'learning_rate': 0.0002931233480804602, 'epoch': 0.48}
{'loss': 0.3671, 'grad_norm': 2.3428761959075928, 'learning_rate': 0.00029304690017467177, 'epoch': 0.49}
{'loss': 0.5149, 'grad_norm': 3.257352828979492, 'learning_rate': 0.0002929700397587369, 'epoch': 0.49}

 11%|███████████████▊                                                                                                                                    | 197/1850 [00:26<04:22,  6.29it/s]
{'loss': 0.3605, 'grad_norm': 2.463884115219116, 'learning_rate': 0.00029281508228419875, 'epoch': 0.49}
{'loss': 0.4589, 'grad_norm': 2.9451684951782227, 'learning_rate': 0.0002927369856724526, 'epoch': 0.5}
{'loss': 0.4351, 'grad_norm': 2.8851170539855957, 'learning_rate': 0.00029265847744427303, 'epoch': 0.5}
{'loss': 0.3113, 'grad_norm': 1.9168370962142944, 'learning_rate': 0.0002925795578260573, 'epoch': 0.5}
{'loss': 0.6674, 'grad_norm': 3.838129997253418, 'learning_rate': 0.0002925002270453893, 'epoch': 0.51}
{'loss': 0.2192, 'grad_norm': 1.78700590133667, 'learning_rate': 0.0002924204853310382, 'epoch': 0.51}
{'loss': 0.48, 'grad_norm': 2.5004029273986816, 'learning_rate': 0.00029234033291295863, 'epoch': 0.51}
{'loss': 0.2431, 'grad_norm': 1.7691795825958252, 'learning_rate': 0.0002922597700222892, 'epoch': 0.51}
{'loss': 0.499, 'grad_norm': 2.5324676036834717, 'learning_rate': 0.00029217879689135253, 'epoch': 0.52}
{'loss': 0.3739, 'grad_norm': 2.3203954696655273, 'learning_rate': 0.00029209741375365396, 'epoch': 0.52}
{'loss': 0.3705, 'grad_norm': 2.2453320026397705, 'learning_rate': 0.0002920156208438815, 'epoch': 0.52}
{'loss': 0.3348, 'grad_norm': 2.348229169845581, 'learning_rate': 0.00029193341839790456, 'epoch': 0.52}

 12%|█████████████████                                                                                                                                   | 213/1850 [00:28<03:29,  7.81it/s]
{'loss': 0.4023, 'grad_norm': 2.6031546592712402, 'learning_rate': 0.00029176778584671974, 'epoch': 0.53}
{'loss': 0.4761, 'grad_norm': 3.1163833141326904, 'learning_rate': 0.00029168435621915325, 'epoch': 0.53}
{'loss': 0.563, 'grad_norm': 2.8871219158172607, 'learning_rate': 0.00029160051801066354, 'epoch': 0.54}
{'loss': 0.1376, 'grad_norm': 1.3272652626037598, 'learning_rate': 0.00029151627146301826, 'epoch': 0.54}
{'loss': 0.2957, 'grad_norm': 2.257490396499634, 'learning_rate': 0.0002914316168191626, 'epoch': 0.54}
{'loss': 0.3123, 'grad_norm': 2.4260177612304688, 'learning_rate': 0.0002913465543232186, 'epoch': 0.54}
{'loss': 0.4678, 'grad_norm': 2.5761725902557373, 'learning_rate': 0.0002912610842204844, 'epoch': 0.55}
{'loss': 0.3742, 'grad_norm': 2.352565050125122, 'learning_rate': 0.0002911752067574337, 'epoch': 0.55}
{'loss': 0.429, 'grad_norm': 2.5347707271575928, 'learning_rate': 0.0002910889221817147, 'epoch': 0.55}
